commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
383f5dc	1.437268	11.4	discard	DropPath 0.04 sample-wise on attn/MLP branch outputs	1.000	BREAK	δ=1.0 BREAK; stochastic depth hurt val_bpb vs best 1.080227; reset 826c359
8bbdf37	1.813284	11.4	discard	per-layer Muon groups + LR ramp 0.9–1.1 by depth	1.000	BREAK	δ=1.0 BREAK; Muon per-layer compile stalls ~36 steps val_bpb >> 1.080227; reset 826c359
4b021f6	1.860670	11.4	discard	RoPE base 10k to 8750	1.000	BREAK	δ=1.0 BREAK; ~131s Muon stalls only ~29 steps val_bpb >> 1.080227; reset 826c359
8d25071	1.587464	11.4	discard	Block forward MLP before Attention	1.000	BREAK	δ=1.0 BREAK; structural reorder val_bpb >> best 1.080227; reset 826c359
9fee1a4	1.726134	13.2	discard	MLP FFN hidden 4x to 4.25x n_embd	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; wider FFN val_bpb worse than static-ct-3 baseline ~1.438 (run.log pre-edit); reset a177376
26462b0	1.708024	10.8	discard	ASPECT_RATIO 64 to 60 (n_embd 480, 5 heads)	1.000	BREAK	δ=1.0 BREAK; smaller width hurt val_bpb vs ~1.438 baseline on SM12; reset a177376
c5aa2e1	1.759276	12.8	discard	HEAD_DIM 96 to 72 (8 heads, n_embd 576)	1.000	BREAK	δ=1.0 BREAK; more heads/smaller head_dim val_bpb worse than ~1.438 SM12 baseline; run_head72.log; reset a177376
69161ec	1.957442	14.1	discard	HEAD_DIM 96 to 100 (n_embd 600, 6 heads)	1.000	BREAK	δ=1.0 BREAK; wider heads; Muon stalls ~19 steps val_bpb >> ~1.438 a177376 baseline; run_iter160_hd100.log; reset a177376
f94ace8	1.820544	13.0	discard	HEAD_DIM 96 to 92 (n_embd 552, 6 heads)	1.000	BREAK	δ=1.0 BREAK; narrower heads; Muon stalls ~49 steps val_bpb >> ~1.438 a177376 baseline; run_iter161_hd92.log; reset a177376
fbe284a	1.491546	12.8	discard	VE gate input channels 32 to 24	1.000	BREAK	δ=1.0 BREAK; smaller VE gate; val_bpb worse than ~1.438 a177376 baseline; run_iter162_ve24.log; reset a177376
e52d15a	1.818104	12.3	discard	remove resid_lambdas and x0_lambdas standard residual stream	1.000	BREAK	delta=1.0 BREAK remove per-layer x0 resid scalars; val worse than ~1.438 a177376 baseline; reset a177376
24a03ac	1.799469	12.8	discard	Q scale 1.07 after RoPE+RMSNorm sharper attention	1.000	BREAK	delta=1.0 BREAK attention temperature on Q; val worse than ~1.438 a177376 baseline; reset a177376
949b2ee	1.590687	11.8	discard	HEAD_DIM 96 to 88 n_embd 528 6 heads	1.000	BREAK	delta=1.0 BREAK head geometry; val worse than ~1.438 a177376 baseline; reset a177376
f8e1fa7	1.630722	14.3	discard	DEPTH 8 to 9 n_embd 576 SSSL	1.000	BREAK	delta=1.0 BREAK deeper same width; val worse than ~1.438 a177376 baseline; reset a177376
893c24f	1.432759	13.1	keep	attention output dropout 0.02 after c_proj	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; BREAK train-only reg; val_bpb improved vs ~1.438 a177376 baseline
d4943b9	0.000000	0.0	crash	Muon WEIGHT_DECAY 0.12 to 0.115 (same attn dropout)	0.820	BREAK	δ≈0.82 after one keep in last10; run.log interleaved/corrupt no reliable val_bpb; reset 893c24f
a49a7d7	1.831863	14.2	discard	MLP c_fc dropout 0.01 plus attn out 0.02	0.820	BREAK	δ≈0.82; WSL Muon ~131s stalls only ~51 steps run_mlpd01.log val_bpb >> 1.432759 best; reset 893c24f
e605828	1.836562	13.1	discard	attn output dropout 0.02 to 0.015	0.820	BREAK	δ≈0.82; Muon stalls ~32 steps run_attn015.log val_bpb >> 1.432759; reset 893c24f
5eb3707	1.667300	13.1	discard	SDPA scaled_dot_product_attention dropout_p=0.02	0.920	BREAK	δ=0.92 BREAK; WSL Muon ~132s stalls only ~52 steps val_bpb worse than best 1.432759; reset 893c24f
290e314	2.332692	13.2	discard	AdamW replaces Muon on transformer block matrices	0.920	BREAK	δ=0.92 BREAK; more steps (68) but val_bpb collapsed vs 1.432759; reset 893c24f
6e18f8f	1.395943	13.1	keep	WINDOW_PATTERN SSSL to SSSS (short layers 0-6)	0.920	BREAK	δ=0.92 BREAK; ~86 train steps; val_bpb improved vs 1.432759
08a68b4	1.787290	13.1	discard	WINDOW_PATTERN SSSS to SLSL alternate short/long	0.840	BREAK	δ=0.84 BREAK; val_bpb worse than best 1.395943; reset 6e18f8f
8a11c42	1.763584	13.1	discard	SIMPLIFY trim docstring/comments; tuple polar coeffs (cherry-pick)	0.612	SIMPLIFY	δ≈0.61 mid-band SIMPLIFY; behavior-preserving cleanup; val_bpb worse than best 1.395943; reset 6e18f8f
8bcbb3f	1.583203	11.9	discard	GPT-J parallel block shared pre-norm for attn and MLP	0.840	BREAK	δ=0.84 BREAK; val_bpb worse than best 1.395943 on 6e18f8f; reset 6e18f8f	
c575e98	1.538037	12.4	discard	GQA n_kv_head=2 vs n_head=6	0.840	BREAK	δ=0.84 BREAK; val_bpb worse than 1.395943; reset 6e18f8f
a5139cf	1.692111	13.1	discard	SwiGLU MLP (hidden 8n/3) replaces ReLU^2 FFN	0.840	BREAK	delta=0.84 BREAK; val_bpb worse than 1.395943; reset 6e18f8f
37f8512	1.488270	25.4	discard	DEVICE_BATCH_SIZE 32 to 64 (4 grad accum)	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than 1.395943; VRAM ~25GB; reset 6e18f8f
7b448d7	0.000000	0.0	crash	Muon ns_steps 4 to 5 (MCP timeout; run.log no val_bpb)	0.920	BREAK	delta=0.92 BREAK; WSL Muon ~132s stalls; process killed before eval; reset 6e18f8f
84054a3	1.767467	13.1	discard	WARMDOWN_RATIO 0.5 to 0.46	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.395943; run_wd046.log ~51 steps; reset 6e18f8f
c85d7b5	1.772389	13.1	discard	Muon momentum ramp step/300 to step/280	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.395943; run_m280.log ~40 steps; reset 6e18f8f
7400416	1.716915	13.1	discard	Muon WD floor 35pct end of budget	0.920	BREAK	delta=0.92 BREAK; late Muon WD floor hurt val vs best 1.395943; reset 6e18f8f
319de70	1.800851	13.1	discard	Muon MATRIX_LR 0.04 to 0.039	1.000	BREAK	δ≈1.0 BREAK; lower matrix LR worse vs best 1.395943; single-process run_mlr039c.log; reset 6e18f8f
b4b1c39	1.511971	11.4	discard	Muon MATRIX_LR 0.04 to 0.041	1.000	BREAK	δ≈1.0 BREAK; higher matrix LR worse vs best 1.395943; run_mlr041.log; reset 6e18f8f
d48ca95	0.000000	0.0	crash	train-only WTE noise std 0.006	1.000	BREAK	δ=1.0 BREAK; WSL run died after step61 Muon stall no val_bpb; reset 6e18f8f
8911d64	1.845165	13.6	discard	Block resid_dropout 0.008 on attn+MLP residuals	1.000	BREAK	δ=1.0 BREAK; Muon stalls ~48 steps val_bpb >> best 1.395943; run_resid008.log; reset 6e18f8f
9616918	1.699753	13.1	discard	SCALAR_LR 0.5 to 0.52	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.395943; run_scalar052.log; reset 6e18f8f
0f216e9	1.740931	13.1	discard	ve_gate_channels 32 to 36	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.395943; reset 6e18f8f
baf4ea0	1.843686	13.1	discard	x0_lambdas init 0.10 to 0.08	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.395943; reset 6e18f8f
0370bab	1.571581	13.1	discard	resid_lambdas init 1.0 to 0.99	1.000	BREAK	δ=1.0 BREAK; run.log had duplicate summaries; last val_bpb used; worse than 1.395943; reset 6e18f8f
3c09e02	1.781513	13.1	discard	Short-window S layers seq//3 (min 32) vs seq//2	1.000	BREAK	delta=1.0 BREAK; tighter local causal window for S; val_bpb worse than best 1.395943; reset 6e18f8f
352e86a	1.211753	11.9	keep	Remove post-RoPE Q/K RMSNorm (pre-norm on x unchanged)	1.000	BREAK	delta=1.0 BREAK; structural attn change; val_bpb improved vs 1.395943 (6e18f8f)
72e63fc	1.397752	11.9	discard	MLP ReLU^2 to GELU tanh approx	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); reset 352e86a
5418350	1.892316	11.6	discard	Attn output dropout 0.02 to 0	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); reset 352e86a
e2bbc8f	1.822526	11.9	discard	SwiGLU MLP (8/3 hidden) replace ReLU^2 FFN	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); run.log SwiGLU
cf16962	1.736872	11.7	discard	GQA n_kv_head = n_head // 2	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); GQA
05d5f3e	1.864748	11.9	discard	WINDOW_PATTERN LSSL (mixed long/short)	0.920	BREAK	delta=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); LSSL vs SSSS
3e09bf9	1.228906	11.9	discard	x0_lambdas init 0.10 to 0.11	0.920	BREAK	δ=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); reset
5579159	1.730617	11.9	discard	RoPE inverse-frequency base 10000 to 9500	0.920	BREAK	δ=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); reset
cab7d85	1.288424	11.9	discard	S-layer causal window seq//4 (min 32) vs seq//2	0.920	BREAK	δ=0.92 BREAK; val_bpb worse than best 1.211753 (352e86a); reset
